"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EYA4",24.0715153199089,3.38475756183791,0.887814499081253,3.81246033415831,0.000137590315467932,0.000821139954483066
"PHLDB1",21.8927267717699,3.23194982592881,0.693943101084704,4.65737006517816,3.20274433723532e-06,2.82677000199465e-05
"MAGEA1",18.6468966682747,5.74259197365378,0.78524209912543,7.31314836538901,2.60954605841261e-13,6.69557133649213e-12
"CAVIN1",25.1578555755543,3.06457553423572,0.581007506980845,5.27458853356392,1.33054274261024e-07,1.50178348479082e-06
"FAM3B",4.59332462653326,5.50676266756516,1.00473931215348,5.48078750473336,4.23436810038371e-08,5.23756427040293e-07
"MFAP5",8.15490089996264,6.28115690572236,1.35571773480257,4.63308603589011,3.60254730922731e-06,3.13751186476807e-05
"GPAT2",8.00781990864684,6.40848740736736,2.00228874745961,3.20058104281817,0.0013715079353973,0.00614286033102671
"SULF2",13.1182904730858,3.28269609701786,0.975249075278831,3.36600790529262,0.000762645227067724,0.00371211379211667
"LCE1B",2.08058533520531,4.15441326649269,1.24778522518692,3.32942976293884,0.00087024010243349,0.00415093102072975
"RUSC2",3.28846478016381,5.13823617207168,1.18030375342286,4.35331681117755,1.34093149800226e-05,0.000102492903645754
"MAGEB3",2.31963412577833,4.12302633024705,1.15314336844302,3.57546723423815,0.000349602961500358,0.00188586138356817
"CNTNAP2",18.083575110681,7.6320142571903,1.41963117388315,5.37605428620893,7.61358451997893e-08,9.03679455836536e-07
"GAGE2A",6.87571981028522,6.12839332299628,1.00668428395366,6.08770139822542,1.14543243791162e-09,1.83641688419651e-08
"ZP4",6.06899726466146,5.79806445040973,0.977603180482178,5.93089769567851,3.0128289853498e-09,4.52547239540464e-08
"STUM",26.3891171372821,3.4673598951661,0.411248842131669,8.4312939999864,3.41863669204465e-17,1.37182735165652e-15
"GPR31",5.35250284217645,3.94559733359749,0.848548528089905,4.64981931260795,3.32225955955823e-06,2.92291083238635e-05
"LRRN2",4.0170815467316,3.16086184909573,0.891017203418087,3.54747566822521,0.000388941675918486,0.00207937679875243
"UST",15.3562237075772,3.92117083022441,0.561439503659138,6.98413774710986,2.86610752528877e-12,6.42268640894255e-11
"MAEL",7.46433368790648,5.81466281744292,1.77072397285164,3.2837770915129,0.00102425900434076,0.00478149181464993
"DUSP23",3.74671664602546,5.08269282076484,1.45196956973961,3.50055051200305,0.000464298238602166,0.00242221197492982
