SRR23199438	SRR23199439	SRR23199440	SRR23199441	SRR23199442	SRR23199443	SRR23199444	SRR23199445	SRR23199446	SRR23199447	SRR23199448	SRR23199449
227.449	194.056	436.473	129.059	163.168	80.3612	0.998586	107.524	109.397	345.565	299.459	334.185
319	353	349	439	501	424	411	348	379	423	411	459
625.951	623.289	573.799	511.948	526.831	529.965	520.074	417.868	620.315	419.772	487.137	496.203
0	0	0	0	0	0	0	0	0	0	0	0
1.90561	0	0	0	0	0	0	0	2	3	0	1
0	0	0	0	0	0	0	0	0	0	0	0
302.134	314.382	346.769	215.947	287.952	200.94	211.75	225.792	190.05	206.397	175.449	173.146
7.87341	4.41619	2.57979	0	2	1.00517	7.41191	5.10503	3.90443	1.16672	1.09301	7.61652
472.621	741.418	684.565	464.444	595.363	351.063	632.39	575.761	478.502	419.008	341.483	366.03
5.24342	1.02345	3.20057	4.17816	1.04023	5.34572	1.08173	6.52283	4.40868	3.5042	2.11894	2.22615
17.1819	8.2054	2.98125	4.72594	10.139	22.1679	8.86976	3.96216	2.26976	12.4254	11.4629	7.35833
22.4341	3.42277	24.664	14.354	14.2512	10.8508	31.9754	18.7403	27.7848	7.0193	3.43573	18.2551
364.406	370.491	320.324	623.236	728.168	705.761	432.275	425.697	397.418	881.013	813.502	772.762
254.741	220.289	248.205	151.931	152.56	171.827	233.747	227.56	233.547	161.51	158.792	148.779
0	0	1	0	2	1	1	3	5	2	3	1
236.553	139.18	192.879	127.392	126.299	172.781	227.584	265.105	234.08	294.463	229.796	207.502
923.727	909.471	1080.79	737.323	655.937	956.88	697.895	506.499	498.857	711.073	805.748	1344.82
0	0	0	0	0	0	0	0	0	0	0	0
328.202	329.728	245.25	343.822	581.258	455.092	436.915	496.039	539.651	801.476	764.486	729.189
854.064	832.264	1029.76	991.314	1344.52	874.172	672.767	741.758	755.172	944.536	967.255	971.83
0	0	0	0	0	0	9.1682	15.6026	9.48387	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
467.198	444.605	492.894	428.526	487.606	341.97	496.714	468.881	412.817	438.733	371.157	421.45
2651.3	2929.83	3115.13	3781.74	4478.04	3688.8	3175.16	2763.46	3137.15	3648.55	3714.28	3498.49
0	0	0	0	0	0	0	0	0	0	0	0
100.624	91.7287	101.71	36.5616	42.6963	99.889	324.834	261.29	308.145	330.346	452.908	489.96
892.556	964.376	893.064	1238.55	1054.36	1277.13	960.831	1007.58	942.275	863.686	940.213	913.549
0	0	6.84282	5.78111	0	7.02723	0	0	0	0	0	0
14.8479	29.0678	43.8879	20.155	29.5921	0	8.13423	4.69055	16.1266	3.25159	5.60707	0
164.991	198.317	173.167	140.597	155.723	106.809	282.615	231.355	275.44	341.478	305.515	312.341
138.348	161.959	155.751	56.0234	66.4095	87.5494	67.7103	65.0504	77.1735	15.7598	30.4477	45.0002
567.388	627.235	629.177	590.144	622.635	631.613	579	578	622.82	557.559	538	554.127
197.872	174.852	176.891	207.164	303.062	253.177	214.959	202.536	222.003	270.689	256.325	236.381
804.987	723.17	707.022	811.582	939.649	836.803	923.059	1014.38	1001.29	1033.09	1165.02	1152.2
233.334	219.091	220.903	178	214.053	290.953	299.146	294.725	335.033	498.8	467.248	472.446
15.4303	10.534	10.5421	18.2079	3.94151	31.5518	10.5569	35.4657	21.082	84.2352	84.2534	115.863
737.466	992.427	1046.09	328.959	363.759	345.976	746.074	810.45	890.404	935.263	818.58	817.166
0	0	0	0	0	0	0	10.8606	0	0	0	11.227
69.6284	88.1086	44.0371	79.4318	70.12	72.2689	79.8392	71.0454	105.742	46.2756	87.2324	62.1298
0	0	0	0	0	0	0	1.0027	0	2.3201	0	0
16.2438	11.137	19.2185	12.3516	19.8555	16.2216	13.1647	21.4715	25.3482	24.795	12.9068	30.4944
0	2	0	0	0	0	2	1	2	0	0	0
5.0322	0	0	0	0	0	0	0.447446	0	0	1.79703	0
67.7686	43.2478	55.3	44.9229	26.8577	24.6853	54.3414	60.9288	69.3057	55.1917	31.7834	47.1364
0	2	0	0	0	0	0	0	0	0	0	0
1199.93	1322.44	1220.44	1281.24	1355.7	1255.47	1097.85	1053.87	1140.85	923	889.375	800.821
305.668	293.332	343.19	254.358	262.126	269.661	145.574	103.846	222.307	317.446	228.934	196.961
154	151.934	148	111	164	127	148	159	95	127	106	128
391.997	240.543	347.243	341.691	461.807	366.295	260.712	204.904	350.733	435.544	365.928	335.842
44.5373	49.5526	45.1414	14.0075	0	0	31.407	18.9477	11.967	16.9476	19.6519	6.0993
0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
8.30217	0	0	0	0	0	0	0	0	0	1.41971	0
0	0	1	0	0	0	0	0	0	0	0	0
1372.11	1634.38	1440.53	1764.61	2210.54	1859.76	1584.32	1490.63	1459.68	1854.44	1826.83	1710.85
0	0	0	0	0	0	0	0	0	0	0	0
19.4744	16.0013	1.30627	0	3	0.814439	0.96332	0	8.15027	2.00292	0	0
0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0
4292.13	5160.13	4990.15	4723.31	6797.44	4950.07	4412.23	3883.42	4385.46	6301.22	5871.53	6039.45
53.4537	30.0059	52.1046	76.7388	65.8571	92.0365	68.8776	59.6197	85.7778	72.3901	54.5629	65.0741
1	0	0	0	0	0	0	0	0	0	0	0
2013	2128.54	2277.43	1792.48	2292.02	1749.28	2115.77	1955.39	1777.07	2082.16	2006.43	2091.95
543.334	575.119	558.983	533.942	565.689	539.226	514.404	526.155	577.699	475.564	452.694	430.274
